DAIUSDC,0xAE461cA67B15dc8dc81CE7615e0320dA1A9aB8D5
DAIUSDT,0xB20bd5D04BE54f870D5C0d3cA85d82b34B836405
DAIZRX,0x7808e5c594b25Fa35Cf0E5567a76f01483912513
DAI,_1INCH,0x1DF4139144595e0245B084E7EA1a75101Fb95548
DAI,_2KEY,0xda9A09ed40015346f6B0704c5Bf1A2ccbF94dE43
DAI,_4B,0x31a1075f76A384A1c9158831a285eE8FA6511257
DAI,_7E,0xf706C84c1e8ECA0d5B3951671f4d4f873bb3E3D6
DAI,AAVE,0x38E12fDd8DC51e48830863151e1Afa7799e6fE97
DAI,aDAI,0xb63429c911b05B995e498B2e9277CCd2AA722658
DAI,GHST,0xf958A4CfcA7AA4b2171120C96d03e9508C4FC8dB
DAI,aLINK,0xbC78FB1411aA1acCADa7E75e4bF6dbA1d4d88e68
DAI,ACXT,0x3CDE548898ABcB1Ca8b22c54C9f33019287F2E31
DAI,ACR,0xcF96ED1b18Bb12e267E7D2Dc0F82e9B0CED3776b
DAI,AGA,0x53Dd5d047226c85AE6cF7A66622De4d1E914bcbA
DAI,ADEL,0xFf807775EAc3d7AC3eC80576EcA3069E20b4Eb19
DAI,alUSD,0xF892f5671ffD78a58274c1d69e367E8e1A1A17F8
DAI,ACH,0xB99b3E6BA5119f45A6600259F29435BC562c1D7C
DAI,ALEX,0x3b586d7C16AC1D933D6d15Cc4345419A903cdbbA
DAI,ALIS,0x164CE9d1424FB537dC74Fe0558839bfC77a9E5A3
DAI,A,0x846D3423e7694746D2122628B08e561010449d6E
DAI,AMIS,0xBADbfDbdeC1913C1216F390C6e3D7B5630730604
DAI,AMN,0x3B90caAcaC6Ce6CeC64aA1f4A8400b1C7b4731c8
DAIAMPL,0x08a564924C26D8289503bbaA18714B9C366dF9a5
DAI,aETHc,0xE6eDE0fE7802f31510EE1871f5C08A318be207dB
DAI,API3,0x0684fF303934e7c4412b0B1ec05B695A83C4EdC0
DAI,APY,0xe4f2b3113bF69fb82aa2eCa57Fbf04Fd0b656b00
DAI,ARMOR,0xfc0DD985f6dE9C2322EBd97c3422b0857c4d78c7
DAI,REPv2,0xADa6780fD5Ff42c47D75Dadb98F3Bd07D2E90703
DAI,BAL,0x6F4795E8A5669ab8d69f79fb27B46E069f6619AA
DAI,BNT,0x33C2d48Bc95FB7D0199C5C693e7a9F527145a9Af
DAI,BAND,0xD515c37b7e22db51e51Ea4d240F7a143034184f1
DAI,VLT,0xf3e9Ad888A53FBF6dFF1C31B7a2A109c557A2cf6
DAI,BAO,0xaE79694E8a8cBc864874e5C190648750f9335c9f
DAI,BOND,0x56d6236c941CDe9020b57C8c1E4f98f018452CE8
DAI,BAT,0x6929abD7931D0243777d3CD147fE863646A752ba
DAI,BAB,0x700e1136cB565E54096461c8A8df700abc3227bB
DAI,BAC,0xd4405F0704621DBe9d4dEA60E128E0C3b26bddbD
DAI,BASv2,0x3E78F2E7daDe07ea685F8612F00477FD97162F1e
DAI,EYE,0x890ff7533Ca0C44F33167FdEEeaB1cA7E690634F
DAI,CELL,0x722BA4621A225E7870f6d87787a10a2C156469A7
DAI,COMP,0xf3194E22d3212A6F930a7C6A88003d43F68befAB
DAI,TRIB,0x0D66d5F400022f91d452e1402AE392145539dbaD
DAI,CORN,0xBA9A5E027d24Dc433Bbb0Da2B28A52E148AA4Fff
DAI,COT,0xa0ce149ce240395Fb9e1f271D243c8209fA98f08
DAI,CRDT,0x5b751F6F6995125d6aCcc037642Ec5c9dDd13c90
DAI,CRV,0xf00F7A64B170D41789C6f16a7eb680a75A050e6D
DAI,yDAI_P_yUSDC_P_yUSDT_P_yTUSD,0x15F896502E926AbF0D8Cd2fDe70C7b21Caa7566c
DAI,CORE,0x8E2c6b34A83931Dee116BFdBAa0da5b9128c5487
DAI,DAM,0x37Cc32369dFB003F5f9E7C34d676FeCc6CD5fDA1
DAI,DEBASE,0xE98f89a2B3AeCDBE2118202826478Eb02434459A
DAI,ETHMNY,0xD82DeE36521826E8a38aBB7d3dBd80f0214E870b
DAI,LEND,0xb603c2b5AB4ee7932103b42f8dd899C8721DD25E
DAI,WIS,0x79D32D52e67D9f71B9C3960357E0628Ab754FE09
DAI,FAIR,0xDf0D833b03B2a77558B0e9F8De0521d1bbfEC843
DAI,FEI,0x765bE0EE8E1857A8D7E906AFa07Cf0D2cF36Ff59
DAI,FERA,0xd6aa58E243eE5354337377dE7d72F04595848281
DAI,FRM,0x1DFeB1dDd41F80A1e29370fE6D3c15f4bc7C41BC
DAI,FLIXX,0x8beB8c717a9A731eE87b76F260927958D4adC2D3
DAI,BANK,0xE2240321887D17bC60a01D5F685482f72456AFfb
DAI,FRY,0xf6635402eac0F1E0463366C95ed6B3248f3E4F72
DAI,FRAX,0x862D12ebd188aAb3f7646efa9C520CD436d6ef6e
DAI,HOGE,0xb3e88FffCe1a7BE5B901338506d3ec4b395E18d1
DAI,HOPR,0x92c2fC5F306405eaB0fF0958f6D85d7F8892CF4D
DAI,IDLE,0x9A8ec3B061b180cF8FA3ee295C379Dc9262424B3
DAI,RLC,0x627eb7E7E39c6b9f94Bad420C3910eB0177ae0Ca
DAI,ICAP,0xcb57A7Eac6AD4BA80E48eDea2cb426D6576ab681
DAI,JRT,0xE4a356Afd925F73F3DD22ACbEb2c0C87A05E895D
DAI,LCX,0x8079f67fc735282eD6903B911D39bAa5Ceeb1a73
